"City";"IRIS";"X11100";"X11210";"X11220";"X11230";"X11240";"X11300";"X12100";"X12210";"X12220";"X12230";"X12300";"X12400";"X13100";"X13300";"X13400";"X14100";"X14200";"X21000";"X22000";"X23000";"X24000";"X25000";"X31000";"X32000";"X33000";"X40000";"X50000"
"Toulouse";315551002;0,15685135457569;0;0;0;0;0;0,0026636553225182;0;0,0299844304361818;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0128677747520413
"Toulouse";315551101;0,102481143535845;0,0216797986803502;0;0;0;0;0,000296317309729755;0;0,065229480022604;0;0;0;0;0;0;0,0407906662893859;0,00351597290106403;0;0;0;0;0;0;0;0;0;0,00578337577159703
"Toulouse";315551102;0,119024513079486;0,0121493700876711;0;0;0;0;0,0312375970949723;0;0,0442655902565512;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0168651296921102
"Toulouse";315551103;0,109338282740398;0;0;0;0;0;0;0;0,0355650874705823;0;0;0;0;0;0;0;0,0101123896872356;0;0;0;0;0;0;0;0;0;0,0196446657910049
"Toulouse";315551201;0,106005693489645;0,100948027707527;0;0;0;0;0,0331442623601705;0;0,0696541707917349;0,00520056056101434;0;0;0;0;0;0,0000544691515280865;0,003902668167077;0;0;0;0;0;0;0;0;0;0,0608565896487385
"Toulouse";315551202;0,102875700649469;0,0204742025847435;0;0;0;0;0,031677057825468;0;0,0173460464500849;0;0;0;0;0;0;0,0685770689278892;0;0;0;0;0;0;0;0;0;0;0
"Toulouse";315551203;0,110898676302077;0,139386146917069;0;0;0;0;0,0140334872574789;0;0,0391707717251707;0,00555233782273112;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Toulouse";315551301;0,138127735617896;0,045234770414792;0;0;0;0;0,0643057332610404;0;0,0220828439370487;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Toulouse";315551302;0,105168668415552;0,0184771592238378;0;0;0;0;0,00346575097303838;0;0,0160451287803931;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Toulouse";315551303;0,0768263089842881;0,131379646184839;0;0;0;0;0,0477447510743812;0;0,0455969093109313;0;0;0;0;0;0;0,01516884238711;0;0;0;0;0;0;0;0;0;0;0
"Toulouse";315551401;0,000160842209354043;0,0149066281558275;0,138634111860327;0,0139776043323651;0;0;0,290637862675644;0,0229865231316127;0,132749309634414;0,000898278645830229;0;0;0;0;0;0,110722495509043;0,282680758917955;0;0;0;0;0;0,16616375824555;0;0;0;0,579679755135993
"Toulouse";315551501;0,0918263291676238;0,0617590891775498;0;0;0;0;0,0278943937219232;0;0,0327940600172417;0;0;0;0;0;0;0,00828202087267116;0;0;0;0;0;0;0;0;0;0;0
"Toulouse";315551502;0,103165984201904;0,165794201396916;0;0;0;0;0,0758460218370743;0;0,0332763546262025;0,00128043230270501;0;0;0;0;0;0,058982701397121;0,0289555816461686;0;0;0;0;0;0;0;0;0;0
"Toulouse";315551601;0,119460660856289;0,0687457405916676;0;0;0;0;0,0746763665878847;0;0,0339636238746402;0,00295199919707142;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Toulouse";315551602;0,208649004486131;0,0520369922227567;0;0;0;0;0,00336560733567551;0;0,043315272737152;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Toulouse";315551603;0,127220047513692;0,0266173950469922;0;0;0;0;0,0147792064917386;0;0,0267494787647016;0;0;0;0;0;0;0;0,0107635292081535;0;0;0;0;0;0;0;0;0;0,00000379758081911132
"Toulouse";315551701;0,0746958372251721;0,258609631501727;0,0147127128212501;0;0;0;0,0441652516349554;0,00996060365990736;0,0555414238178541;0;0;0;0;0;0,0171153214465678;0,0612478235900602;0;0,0266704643074423;0;0;0;0;0;0;0;0;0,250944144201078
"Toulouse";315551702;0,023412607217316;0,395177250138623;0,056102393793866;0;0;0;0,158398691117923;0,132314272051238;0,13840303245863;0;0;0;0;0;0,0124462364160698;0,0228424356366042;0,319465280443059;0,0524209579368131;0;0;0;0;0;0;0;0;0,00140160032305121
"Toulouse";315551801;0,291072322112741;0,0552913562111484;0;0;0;0;0,257839380821325;0;0,0735106740832979;0;0;0;0;0;0;0;0;0,000333376292109489;0;0;0;0;0;0;0;0;0,0488608130497634
"Toulouse";315551802;0,216089959341926;0,0235276473961696;0;0;0;0;0,0623275716184349;0;0,0456381084204791;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Toulouse";315551803;0,0801704556363797;0,0737338338435031;0;0;0;0;0,0347708693858719;0;0,032997559019906;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Toulouse";315551804;0,118703406513471;0,178440559667537;0;0;0;0;0,0155274779282873;0;0,0500392961319967;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Toulouse";315551805;0,15937189308776;0,0300372305924371;0;0;0;0;0,0000868518875082955;0;0,0334664597122581;0;0;0;0;0;0;0;0,0303437346088216;0;0;0;0;0;0;0;0;0;0
"Toulouse";315551806;0,0934090686706076;0,138480606029794;0;0;0;0;0,0111071625387743;0;0,0329068564980675;0,00360173591589928;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
